time_stamp_in_min,cumulative_in_flow_count,cumulative_out_flow_count,number_of_vehicles_in_network,flow_in_a_min,avg_trip_time_in_min
420,60,0,60,60,11.8017,
421,120,0,120,60,12.1369,
422,180,0,180,60,12.4687,
423,240,0,240,60,12.8038,
424,300,0,300,60,13.1373,
425,360,0,360,60,13.4691,
426,420,0,420,60,13.8042,
427,480,0,480,60,14.1377,
428,540,0,540,60,15.6912,
429,600,0,600,60,17.093,
430,660,0,660,60,17.2531,
431,720,14,706,60,16.4133,
432,780,59,721,60,16.3717,
433,840,104,736,60,16.0552,
434,900,149,751,60,15.612,
435,960,194,766,60,15.9205,
436,1020,239,781,60,15.864,
437,1080,284,796,60,15.5124,
438,1140,329,811,60,15.5059,
439,1200,374,826,60,15.5744,
440,1260,419,841,60,15.4612,
441,1320,464,856,60,16.1897,
442,1380,509,871,60,16.3298,
443,1440,558,882,60,16.3016,
444,1500,615,885,60,16.5984,
445,1560,672,888,60,16.7135,
446,1620,727,893,60,16.7937,
447,1680,760,920,60,16.7422,
448,1740,812,928,60,17.2573,
449,1800,862,938,60,17.2208,
450,1860,917,943,60,17.5726,
451,1920,972,948,60,17.3144,
452,1980,1028,952,60,17.8595,
453,2040,1088,952,60,17.803,
454,2100,1149,951,60,17.9498,
455,2160,1209,951,60,17.8599,
456,2220,1269,951,60,18.2184,
457,2280,1335,945,60,18.1252,
458,2340,1394,946,60,18.7387,
459,2400,1448,952,60,18.4038,
460,2460,1501,959,60,19.0206,
461,2520,1553,967,60,18.6641,
462,2580,1606,974,60,19.3076,
463,2640,1661,979,60,19.2094,
464,2700,1713,987,60,19.3462,
465,2760,1766,994,60,19.2146,
466,2820,1821,999,60,19.9065,
467,2880,1874,1006,60,19.7833,
468,2940,1927,1013,60,19.9301,
469,3000,1981,1019,60,19.7802,
470,3060,2034,1026,60,20.4987,
471,3120,2087,1033,60,20.3605,
472,3180,2142,1038,60,20.499,
473,3240,2195,1045,60,20.6391,
474,3300,2247,1053,60,20.7709,
475,3360,2301,1059,60,20.9194,
476,3420,2355,1065,60,21.0662,
477,3480,2407,1073,60,20.878,
478,3540,2461,1079,60,21.0048,
479,3600,2514,1086,60,21.4699,
480,3660,2568,1092,60,21.9567,
481,3720,2621,1099,60,21.7702,
482,3780,2674,1106,60,21.8953,
483,3840,2727,1113,60,22.3971,
484,3900,2781,1119,60,22.194,
485,3960,2834,1126,60,22.3441,
486,4020,2889,1131,60,22.1142,
487,4080,2941,1139,60,22.6194,
488,4140,2995,1145,60,22.7662,
489,4200,3049,1151,60,22.913,
490,4260,3103,1157,60,23.0481,
491,4320,3155,1165,60,23.1866,
492,4380,3209,1171,60,23.3234,
493,4440,3263,1177,60,23.8802,
494,4500,3316,1184,60,23.2137,
495,4560,3369,1191,60,23.7538,
496,4620,3422,1198,60,23.4723,
497,4680,3474,1206,60,24.4508,
498,4740,3529,1211,60,19.0676,
499,4800,3582,1218,60,11.436,
500,4860,3635,1225,60,11.4378,
501,4920,3689,1231,60,11.4397,
502,4980,3743,1237,60,11.4398,
503,5040,3796,1244,60,11.4399,
504,5100,3849,1251,60,11.4401,
505,5160,3902,1258,60,11.4402,
506,5220,3956,1264,60,11.4403,
507,5280,4010,1270,60,11.4405,
508,5340,4063,1277,60,11.4406,
509,5400,4116,1284,60,11.4408,
510,5460,4197,1263,60,11.4409,
511,5520,4280,1240,60,11.441,
512,5580,4363,1217,60,11.4412,
513,5640,4447,1193,60,11.4413,
514,5700,4530,1170,60,11.4415,
515,5760,4613,1147,60,11.4416,
516,5820,4697,1123,60,11.4417,
517,5880,4780,1100,60,11.4419,
518,5940,4863,1077,60,11.442,
519,6000,4947,1053,60,11.4422,
520,6060,5030,1030,60,11.4423,
521,6120,5113,1007,60,11.4424,
522,6180,5197,983,60,11.4426,
523,6240,5280,960,60,11.4427,
524,6300,5363,937,60,11.4428,
525,6360,5447,913,60,11.443,
526,6420,5530,890,60,11.4431,
527,6480,5613,867,60,11.4433,
528,6540,5697,843,60,11.4434,
529,6600,5780,820,60,11.4435,
530,6660,5863,797,60,11.4437,
531,6720,5947,773,60,11.4438,
532,6780,6030,750,60,11.444,
533,6840,6113,727,60,11.4441,
534,6900,6197,703,60,11.4442,
535,6960,6271,689,60,11.4444,
536,7020,6331,689,60,11.4445,
537,7080,6391,689,60,11.4447,
538,7140,6451,689,60,11.4448,
539,7200,6511,689,60,11.4449,
540,7200,6571,629,0,0,
541,7200,6631,569,0,0,
542,7200,6691,509,0,0,
543,7200,6751,449,0,0,
544,7200,6811,389,0,0,
545,7200,6871,329,0,0,
546,7200,6931,269,0,0,
547,7200,6991,209,0,0,
548,7200,7051,149,0,0,
549,7200,7111,89,0,0,
550,7200,7171,29,0,0,
551,7200,7200,0,0,0,
