count_sensor_id,from_node_id,to_node_id,day_no,start_time_in_min,end_time_in_min,link_count
5010->4958,5010,4958,1,990,1050,49.5
4958->5010,4958,5010,1,990,1050,74.5
4952->5022,4952,5022,1,990,1050,221.5
5022->4952,5022,4952,1,990,1050,147.5
5018->5436,5018,5436,1,990,1050,634
5436->5018,5436,5018,1,990,1050,951
4804->5109,4804,5109,1,990,1050,107
5109->4804,5109,4804,1,990,1050,160.5
6270->6273,6270,6273,1,990,1050,35
6273->6270,6273,6270,1,990,1050,53
5103->5820,5103,5820,1,990,1050,131
5820->5103,5820,5103,1,990,1050,306
5113->11148,5113,11148,1,990,1050,614
11148->5113,11148,5113,1,990,1050,921
6185->8172,6185,8172,1,990,1050,35
8172->6185,8172,6185,1,990,1050,53
3000->1358,3000,1358,1,990,1050,33
1358->3000,1358,3000,1,990,1050,50
11507->5175,11507,5175,1,990,1050,35
5175->11507,5175,11507,1,990,1050,53
10847->5216,10847,5216,1,990,1050,35
5216->10847,5216,10847,1,990,1050,53
5219->11173,5219,11173,1,990,1050,259
11173->5219,11173,5219,1,990,1050,388.5
6256->5232,6256,5232,1,990,1050,259
5232->6256,5232,6256,1,990,1050,388.5
11281->5214,11281,5214,1,990,1050,221.5
5214->11281,5214,11281,1,990,1050,332.5
5210->11172,5210,11172,1,990,1050,455.5
11172->5210,11172,5210,1,990,1050,683
5209->5211,5209,5211,1,990,1050,434.5
5211->5209,5211,5209,1,990,1050,652
5238->5208,5238,5208,1,990,1050,315.5
5208->5238,5208,5238,1,990,1050,473.5
11261->5214,11261,5214,1,990,1050,558.5
5214->11261,5214,11261,1,990,1050,838
11282->5208,11282,5208,1,990,1050,237
5208->11282,5208,11282,1,990,1050,355
5216->5868,5216,5868,1,990,1050,756.5
5868->5216,5868,5216,1,990,1050,504.5
11257->11184,11257,11184,1,990,1050,50
11184->11257,11184,11257,1,990,1050,33
5729->5175,5729,5175,1,990,1050,33
5175->5729,5175,5729,1,990,1050,50
11181->11182,11181,11182,1,990,1050,33
11182->11181,11182,11181,1,990,1050,50
11180->5211,11180,5211,1,990,1050,33
5211->11180,5211,11180,1,990,1050,50
5118->11255,5118,11255,1,990,1050,925.5
11255->5118,11255,5118,1,990,1050,757
2->3,2,3,1,990,1050,1145
3->2,3,2,1,990,1050,936.5
5114->5589,5114,5589,1,990,1050,1023
5589->5114,5589,5114,1,990,1050,837
5112->11159,5112,11159,1,990,1050,947
11159->5112,11159,5112,1,990,1050,774.5
5017->11123,5017,11123,1,990,1050,735.5
11123->5017,11123,5017,1,990,1050,601.5
5863->5524,5863,5524,1,990,1050,685
5524->5863,5524,5863,1,990,1050,337.5
5027->5009,5027,5009,1,990,1050,512
5009->5027,5009,5027,1,990,1050,341.5
5436->5577,5436,5577,1,990,1050,764
5577->5436,5577,5436,1,990,1050,376
5440->11125,5440,11125,1,990,1050,855
11125->5440,11125,5440,1,990,1050,421
11126->11127,11126,11127,1,990,1050,698
11127->11126,11127,11126,1,990,1050,344
11128->5030,11128,5030,1,990,1050,701.5
5030->11128,5030,11128,1,990,1050,345.5
5030->4899,5030,4899,1,990,1050,157
4899->5030,4899,5030,1,990,1050,235.5
5440->11827,5440,11827,1,990,1050,196
11827->5440,11827,5440,1,990,1050,294
5436->5578,5436,5578,1,990,1050,666.5
5578->5436,5578,5436,1,990,1050,999.5
11124->5022,11124,5022,1,990,1050,409
5022->11124,5022,11124,1,990,1050,613.5
