vehicle_id,origin_zone_id,destination_zone_id,departure_time, trip_time, complete_flag, demand_type,pricing_type,vehicle_type, information_class,value_of_time, toll_dollar_cost,emissions,distance_in_mile, number_of_nodes, <node id;node arrival time>
2,1,12,840.5941,131.1060,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
4,1,12,841.1881,131.1119,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
7,1,12,841.7822,131.1179,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
10,1,12,842.3762,131.1238,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
13,1,12,842.9703,131.1297,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
16,1,12,843.5643,131.1357,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
19,1,12,844.1584,131.1416,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
23,1,12,844.7525,131.1475,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
26,1,12,845.3466,131.1534,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
28,1,12,845.9406,131.1594,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
30,1,12,846.5347,131.1653,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
34,1,12,847.1287,131.1713,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
38,1,12,847.7228,131.1772,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
41,1,12,848.3168,131.0832,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
44,1,12,848.9109,131.0891,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
47,1,12,849.5049,131.0950,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
50,1,12,850.0990,131.1010,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
53,1,12,850.6931,131.1069,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
56,1,12,851.2871,131.1129,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
59,1,12,851.8812,131.1188,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
60,1,12,852.4752,131.1248,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
63,1,12,853.0693,131.1307,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
67,1,12,853.6634,131.1366,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
71,1,12,854.2574,131.1426,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
73,1,12,854.8515,131.1485,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
76,1,12,855.4456,131.1544,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
79,1,12,856.0396,131.1604,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
81,1,12,856.6337,131.1663,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
84,1,12,857.2277,131.1723,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
87,1,12,857.8218,131.1782,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
90,1,12,858.4158,131.0842,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
93,1,12,859.0099,131.0901,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
96,1,12,859.6039,131.0961,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
99,1,12,860.1980,131.1020,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
103,1,12,860.7921,131.1080,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
105,1,12,861.3861,131.1139,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
108,1,12,861.9802,131.1198,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
112,1,12,862.5743,131.1257,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
115,1,12,863.1683,131.1317,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
117,1,12,863.7624,131.1376,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
120,1,12,864.3564,131.1436,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
123,1,12,864.9505,131.1495,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
126,1,12,865.5446,131.1555,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
129,1,12,866.1386,131.1614,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
133,1,12,866.7327,131.1674,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
136,1,12,867.3267,131.1733,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
139,1,12,867.9208,131.1792,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
141,1,12,868.5148,131.0851,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
144,1,12,869.1089,131.0911,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
149,1,12,869.7029,131.0970,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
152,1,12,870.2971,131.1030,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
155,1,12,870.8911,131.1089,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
158,1,12,871.4852,131.1148,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
161,1,12,872.0792,131.1208,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
164,1,12,872.6733,131.1267,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
167,1,12,873.2673,131.1327,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
170,1,12,873.8614,131.1386,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
173,1,12,874.4554,131.1445,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
176,1,12,875.0495,131.1505,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
178,1,12,875.6436,131.1564,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
181,1,12,876.2376,131.1624,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
184,1,12,876.8317,131.1683,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
187,1,12,877.4257,131.1743,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
190,1,12,878.0198,131.0802,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
193,1,12,878.6139,131.0861,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
195,1,12,879.2079,131.0920,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
199,1,12,879.8020,131.0980,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
201,1,12,880.3961,131.1039,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
204,1,12,880.9901,131.1099,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
207,1,12,881.5842,131.1158,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
210,1,12,882.1782,131.1218,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
214,1,12,882.7723,131.1277,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
218,1,12,883.3663,131.1337,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
221,1,12,883.9604,131.1396,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
224,1,12,884.5544,131.1456,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
227,1,12,885.1485,131.1515,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
230,1,12,885.7426,131.1575,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
233,1,12,886.3366,131.1634,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
236,1,12,886.9307,131.1693,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
239,1,12,887.5248,131.1752,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
241,1,12,888.1188,131.0812,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
245,1,12,888.7129,131.0871,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
248,1,12,889.3069,131.0931,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
250,1,12,889.9010,131.0990,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
254,1,12,890.4951,131.1049,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
257,1,12,891.0891,131.1109,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
260,1,12,891.6832,131.1168,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
263,1,12,892.2772,131.1228,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
266,1,12,892.8713,131.1287,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
269,1,12,893.4653,131.1346,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
270,1,12,894.0594,131.1406,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
275,1,12,894.6534,131.1466,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
278,1,12,895.2476,131.1525,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
281,1,12,895.8416,131.1584,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
284,1,12,896.4357,131.1643,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
287,1,12,897.0297,131.1702,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
290,1,12,897.6238,131.1763,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
293,1,12,898.2178,131.0822,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
296,1,12,898.8119,131.0881,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
299,1,12,899.4059,131.0941,1,3,3,1,1,10.0000,0.0000,0.0000,110.5249,5,"
