timing_plan_name,node_id,key,value,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,P1,P2,P3,P4,P5,P6,P7,P8,geometry,
ALLDAY,5,SplitInSeconds,,0,44,0,26,17,27,0,26,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,BRP,,0,112,0,211,121,122,0,222,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,MinGreen,,0,37.9,0,21,10.9,22,0,21,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,MaxGreen,,0,37.9,0,21,10.9,22,0,21,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,VehExt,,0,2.3,0,2.3,2.3,2.3,0,2.3,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,TimeBeforeReduce,,0,10,0,10,10,10,0,10,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,TimeToReduce,,0,8,0,8,8,15,0,8,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,MinGap,,0,0.3,0,0.3,0.3,0.3,0,0.3,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Yellow,,0,3.6,0,3.6,3.6,3.6,0,3.6,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,AllRed,,0,2.5,0,1.4,2.5,1.4,0,1.4,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Recall,,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Walk,,0,5,0,5,0,5,0,5,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,DontWalk,,0,32,0,16,0,16,0,16,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,PedCalls,,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,MinSplit,,0,44,0,26,9,26,0,26,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,DualEntry,,0,1,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,InhibitMax,,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Start,,0,0,0,44,0,17,0,44,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,End,,0,44,0,70,17,44,0,70,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Yield,,0,38,0,65,11,39,0,65,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Yield170,,0,38,0,65,11,39,0,65,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,LocalStart,,0,0,0,44,0,17,0,44,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,LocalYield,,0,38,0,65,11,39,0,65,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,LocalYield170,,0,38,0,65,11,39,0,65,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,ActGreen,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Control_Type,pretimed_signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Cycle Length,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Lock Timings,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Referenced To,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Reference Phase,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Offset,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Master,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Node 0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,Node 1,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,RingType,dual_ring,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,OptimizationMethod,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,VolumeAdjustmentFactor,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,MovementCodeVector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALLDAY,5,MovementVector,,,1:2;,,3:4;,1:3;,2:1;,,4:3;,,,,,,,,,,,,,,,,,,,,
